,SKU,Harga,Jumlah_Penjualan,Halaman,GMV
0,Sandal konichiwa,69000,50,1,3450000
1,Sandal konichiwa,65000,25,1,1625000
2,Sandal konichiwa,59000,13,1,767000
3,JG-476 Sandal Konichiwa Abstract Pop - Navy Blue - Women ✡,202000,1,1,202000
4,✷*QWJF* Sandal konichiwa ✷,221000,2,1,442000
5,Sandal konichiwa,126000,7,1,882000
6,*KDKF* ✢Sandal konichiwa *C,65000,0,1,0
7,"Top Produk>,!mgu-829 Sandal Konichiwa Abstract Pop - Navy Blue - Women",132000,0,1,0
8,Sandal konichiwa (ART. 0628),135000,0,1,0
9,[KODE Q9637] Sandal Konichiwa Abstract Pop - Navy Blue - Women,222000,0,1,0
10,GORDEN HORDENG KORDEN KOLONG DAPUR BAWAH MEJA KOMPOR WESTAFEL MOTIF KONICHIWA MURAH,224000,585,1,131040000
11,Kain Katun CVC Meteran Star Sprei Bed Cover Anak Konichiwa Hijau Kotak Kuning,111000,0,1,0
12,Sandal Konichiwa Abstract Pop - Navy Blue - Women - 36,113000,0,1,0
13,kaos distro pria konichiwa allsize ld98cm cotton 30s,219000,6,1,1314000
14,sandal konichiwa,224000,0,1,0
15,KONICHIWA (STAR DELUXE),9405,0,1,0
16,Konichiwa,18900,21,1,396900
17,CREWNECK KONICHIWA BONJOUR,27000,0,1,0
18,Buku Travelling / Konichiwa Japan! / Buku tentang Jepang / Buku Travelling Jepang,197370,16,1,3157920
19,OVERSIZE JACKET ZARA KONICHIWA ORIGINAL,35000,0,1,0
20,Konichiwa,99450,11,1,1093950
21,"BUKU KONICHIWA JAPAN | TRAVEL,FOOD,CULTURE,LIFE",33500,0,1,0
22,OVERSIZE JAKET KONICHIWA ZARRA,32000,0,1,0
23,sandal konichiwa,80000,0,1,0
24,SPREI KATUN KONICHIWA|TANPA BEDCOVER|DISTRO_SPREI,35380,0,1,0
25,"Sprei Anak Motif Konichiwa By Katun Star,Seprei Katun Lokal Homemade/Custom Uk.80,90,100,120x200",110000,1,1,110000
26,NAPKIN KONICHIWA,100000,0,1,0
27,BAJU KAOS JEPANG KONICHIWA MURAH,46400,3,1,139200
28,Konichiwa Tunik Atasan Wanita Pakaian Wanita By My&Me,120000,4,1,480000
29,Konichiwa jaket,105300,2,1,210600
30,KONICHIWA OVERSIZE JACKET ZARA,120000,0,1,0
31,KAOS KONICHIWA SELAMAT SIANG HELLO OHAYOU QUOTEE CLOTHING,180000,0,1,0
32,Kaos Tulisan Jepang Konichiwa Original Cotton Combed 30s Berkualitas Distro Clothing Fpc Id,105000,11,1,1155000
33,Sprei STAR Konichiwa,180000,4,1,720000
34,JUMPER PANJANG KONICHIWA - PITEKU,110000,0,1,0
35,Bedcover Set + Sprei Devina Collection PREMIUM STAR DELUXE KONICHIWA Termurah & Terlaris Uk Single 120x200/ Queen 160x200 /King 180x200 Dekorasi,49900,0,1,0
36,Konichiwa cardi plain,125000,0,1,0
37,KAOS PRIA BRANDED / KAOS PREMIUM / KAOS DISTRO COMBAD 30S KEREN MURAH Konichiwa,105000,2,1,210000
38,Sandal Konichiwa Abstract Pop - Navy Blue - Women - 36,139000,0,1,0
39,Konichiwa Tunic#My&me,38400,1,1,38400
40,Colourpop x hello kitty lipstick (konichiwa),75520,0,1,0
41,Baju kodok pendek Piteku konichiwa,23900,0,1,0
42,BAJU KAOS JEPANG KONICHIWA T-SHIRT,43000,1,1,43000
43,SMIGGLE KONICHIWA ERASER SET + SMIGGLE SCENTED PENCILS (BEST SELLER),110000,0,1,0
44,Frame Frame kacamata minus round bulat konichiwa +lensa antiradiasi,182500,1,1,182500
45,Paket lensa minus - frame kacamata pria wanita konichiwa,55300,0,1,0
46,Obral Kaos Distro Premium Japanese Konichiwa Murah Terlaris,339648,0,1,0
47,Tunik Remaja Konichiwa,468825,0,1,0
48,konichiwa tunic,75200,0,1,0
49,kaos distro pria konichiwa allsize ld98cm bisa untuk cowok atau cewek cotton 30s,120000,0,1,0
50,KAOS TULISAN JEPANG/KONICHIWA/HURUF JEPANG,208980,0,1,0
51,T1498 Kaos Tshirt Baju Combed 30S Distro Konichiwa,135000,0,1,0
