,SKU,Harga,Jumlah_Penjualan,Halaman,GMV
0,Matoa Way Kambas Mini Jam Tangan Kayu Unisex - Ebony,997500,159,1,158602500
1,Matoa Rakai Mini Full Moon Jam Tangan Kayu Pria/Wanita/Unisex - Maple,931000,316,1,294196000
2,Matoa Rakai Mini Maple Jam Tangan Kayu Pria/Wanita/Unisex - Maple,1064000,275,1,292600000
3,Bibit matoa,6000,3000,1,18000000
4,Buah Matoa Fresh 1 kg,37000,25,1,925000
5,Buah Matoa,57000,0,1,0
6,1KG BUAH MATOA DAGING TEBAL,36999,14,1,517986
7,matoa buah 3 rasa - buah langka- kelengkeng ya papua,50000,0,1,0
8,Matoa Rakai Full Moon Jam Tangan Kayu Pria/Wanita/Unisex - Maple,931000,507,1,472017000
9,MATOA IRIANJAYA BUAH FRESH SEGAR MANIS PANEN PILIHAN PREMIUM TERLARIS,55000,1,1,55000
10,Matoa Rakai Jam Tangan Kayu Pria/Wanita/Unisex - Ebony,931000,661,1,615391000
11,1KG BUAH MATOA DAGING TEBAL MANIS,19500,390,1,7605000
12,buah matoa/buah kesehatan,36999,0,1,0
13,MATOA MURAH,35000,209,1,7315000
14,Buah Matoa 1kg,39000,117,1,4563000
15,10.10 PROMO >> Buah matoa papua ★★★,60000,0,1,0
16,buah matoa satu buah tiga rasa,167000,0,1,0
17,Matoa Singo Jam Tangan Kayu Pria/Wanita/Unisex - Ebony,40000,626,1,25040000
18,【STAR SALE】 Buah Matoa asli papua 1 pack grosir,1059500,0,1,0
19,"BUAH MATOA FRESH MANIIIS FREE KARDUS 1kg & 500gr Baru petik, buah unik, perpaduan rasa buah rambutan, durian dan klengkeng. buah mantab",59000,3,1,177000
20,Matoa Singo Jam Tangan Kayu Pria/Wanita/Unisex - Maple,14988,288,1,4316544
21,BUAH MATOA FRESH 500gr,39150,1,1,39150
22,Buah Matoa papua rasa 3 buah 1 kg,1059500,3,1,3178500
23,Matoa Kaili Jam Tangan Kayu Pria/Wanita/Unisex - Maple,35000,290,1,10150000
24,Buah matoa|buah segar bandung|nuri fruits|matoa|500gram|buah matoa manis|matoa buah besar dan manisss|datang super,28999,230,1,6669770
25,MATOA,760000,0,1,0
26,Matoa Rakai Mini Full Moon Jam Tangan Kayu Pria/Wanita/Unisex - Maple,33000,316,1,10428000
27,10.10 TERLARIS BUAH MATOA sale,60000,0,1,0
28,BUAH MATOA PAPUA,25000,878,1,21950000
29,matoa super,931000,0,1,0
30,11.11 SALE Buah Matoa / Rambutan Papua terbaru,118000,0,1,0
31,Matoa Rakai Mini Ebony Jam Tangan Kayu Pria/Wanita/Unisex - Ebony,45000,330,1,14850000
32,Flas Sale 11.11 BUAH MATOA PAPUA Terlaris,30000,0,1,0
33,"Buah Matoa Hijau khas Papua, 1kg",60000,2,1,120000
34,"Buah kemasan box, Matoa,Rukem,dan Kemundung Merah/Jirek/Kepundung/Menteng 250gram",997500,13,1,12967500
35,Matoa Singo Mantra Jam Tangan Kayu Pria/Wanita/Unisex - Ebony,94000,282,1,26508000
36,Buah Matoa / Rambutan Papua,17500,12000,1,210000000
37,Matoa Tomia M Jam Tangan Kayu Pria/Wanita/Unisex - Maple,45500,91,1,4140500
38,Matoa Way Kambas Mini Jam Tangan Kayu Pria/Wanita/Unisex - Maple,20500,403,1,8261500
39,【STAR SALE】 Buah matoa papua,1059500,0,1,0
40,"Buah matoa 3 rasa durian, rasa lengkeng,rasa rambutan",25000,34,1,850000
41,Matoa Sunda Jam Tangan Kayu Pria/Wanita/Unisex - Maple,85000,191,1,16235000
42,Buah matoa 1kg,896000,31000,1,2006196224
43,"Ezc75 BUAH MATOA PAPUA ...,,",1064000,0,1,0
44,BISA COD BUAH MATOA PAPUA grosir,161000,0,1,0
45,Matoa Rote Jam Tangan Kayu Pria/Wanita/Unisex - Ebony,200000,113,1,22600000
46,JUAL BUAH MATOA 500 GR,1170000,302,1,353340000
47,BUAH MATOA GROSIR & ECERAN,40000,27,1,1080000
48,JUAL BUAH MATOA & BIBIT POHON MATOA,95000,301,1,28595000
49,Matoa - Kumbang Indigo Ebony Jam Tangan Kayu Pria/Wanita/Unisex,99000,19,1,1881000
50,Matoa Maniss,1050000,3,1,3150000
51,MATOA MANIS PREMIUM 1KG,25000,0,1,0
52,Promo 11.11 BUAH MATOA PAPUA - Langsung Order,40000,0,1,0
53,Matoa Way Kambas Jam Tangan Kayu Pria/Wanita/Unisex - Maple,25000,276,1,6900000
0,Matoa Singo Mantra Jam Tangan Kayu Pria/Wanita/Unisex - Ebony,1059500,282,2,298779000
1,Matoa Singo Jam Tangan Kayu Pria/Wanita/Unisex - Ebony,1059500,626,2,663247000
2,Bibit Tanaman Matoa Bibit Matoa Super Asli Papua,8500,480,2,4080000
3,Bibit Buah Matoa Super Okulasi Cepat Berbuah,17000,0,2,0
4,Matoa Moyo Jam Tangan Kayu Pria/Wanita/Unisex - Maple,630000,0,2,0
5,Matoa Sunda Jam Tangan Kayu Pria/Wanita/Unisex - Maple,702000,0,2,0
6,Matoa buah matoa segar manis langka asal papua rasa durian lengkeng rambutan dalam satu gigitan,40000,29,2,1160000
7,Matoa/Rambutan Papua,20000,34,2,680000
8,Matoa 1kg || 3 rasa dalam 1 buah,37000,9,2,333000
9,Matoa Way Kambas Jam Tangan Kayu Pria/Wanita/Unisex - Maple,50000,276,2,13800000
10,Buah Matoa,1064000,93,2,98952000
11,matoa super segar grosir,45550,0,2,0
12,Matoa Mori Jam Tangan Kayu Pria/Wanita/Unisex - Ebony,55000,135,2,7425000
13,matoa merah,950000,0,2,0
14,Matoa Tomia M Jam Tangan Kayu Pria/Wanita/Unisex - Ebony,35000,75,2,2625000
15,Pasca [11.11] BUAH MATOA PAPUA @,896000,0,2,0
16,Buah Matoa khas Papua,117000,0,2,0
17,matoa paket reseler 5 kg,45000,0,2,0
18,Buah Matoa Merah dan Kuning,220000,0,2,0
19,matoa,35000,0,2,0
20,Matoa Sumba Jam Tangan Kayu Pria/Wanita/Unisex - Maple,60000,95,2,5700000
21,MATOA,1050000,0,2,0
22,Buah Matoa Papua,40000,0,2,0
23,matoa,60000,78,2,4680000
24,matoa,45000,0,2,0
25,Matoa,47250,0,2,0
26,MATOA grade super ASLI manis 1 KG,40000,30,2,1200000
27,Matoa 500gr,55500,627,2,34798500
28,Buah matoa,20000,0,2,0
29,Matoa Gili Jam Tangan Kayu Pria/Wanita/Unisex - Ebony,50000,107,2,5350000
30,matoa,1050000,0,2,0
31,matoa buah unik,45000,0,2,0
32,Buah Matoa buah sehat bermanfaat,35000,1,2,35000
33,Buah matoa,50500,0,2,0
34,buah matoa khas papua kaya manfaat,65000,0,2,0
35,matoa,50000,0,2,0
36,matoa,65000,0,2,0
37,Matoa Alor Jam Tangan Kayu Pria/Wanita/Unisex - Ebony,55000,126,2,6930000
38,BUAH MATOA PAPUA (ART. Z1914),1170000,0,2,0
39,BUAH MATOA BUAH AJAIB RASA LENGKENG DUREN RAMBUTAN MURAH,110000,0,2,0
40,Buah Matoa,46500,0,2,0
41,Buah matoa,55000,0,2,0
