nama_produk,product_id,shop_id,terjual_bulanan,total_terjual,total_disukai,total_kunjungan,category_id,total_review,diskon,total_rating,star_seller,shopee_mall,supermarket,gratis_ongkir,kategori_1,kategori_2,foto_produk,tipe_toko,kota,harga,url,omzet,omzet_bulanan,rating,rate_5,rate_1,real_order_percentage,bad_product_indicator,marketplace,timestamp
Bata Sepatu Wanita Dorian Brown - 6614100,1948328298,27501829,307,2726,4706,30092,100532,1737,61,"[1737, 7, 4, 39, 194, 1493]",False,True,False,True,Sepatu Wanita,Boots,https://cf.shopee.co.id/file/473265ffddb515bffba2184e998178ae_tn,Shopee Mall,Kota Jakarta Utara,78900,https://shopee.co.id/bata-sepatu-wanita-dorian-brown-6614100-i.27501829.1948328298,215081400,24222300,4.8,1493,7,0.6371973588,0.004029936672,shopee,2021-10-22 0:00:00
Zenzy Timo Boots Korea Design - Boots Canvas Comfy,4551151418,16751380,176,1980,21448,37362,100532,1191,0,"[1191, 0, 0, 17, 82, 1092]",False,True,False,False,Sepatu Wanita,Boots,https://cf.shopee.co.id/file/dfdb008693ec59801635472ebcc643ee_tn,Shopee Mall,Kota Jakarta Selatan,300000,https://shopee.co.id/zenzy-timo-boots-korea-design-boots-canvas-comfy-i.16751380.4551151418,594000000,52800000,4.9,1092,0,0.6015151515,0,shopee,2021-10-22 0:00:00
FARADELA Sepatu Wanita Boots F01-07.5,1954343813,99496847,138,1486,8361,15598,100532,990,0,"[990, 1, 4, 12, 81, 892]",False,True,False,True,Sepatu Wanita,Boots,https://cf.shopee.co.id/file/fe28dd5644d395dd11d264dab2c86509_tn,Shopee Mall,Kab. Bogor,150000,https://shopee.co.id/faradela-sepatu-wanita-boots-f01-07-5-i.99496847.1954343813,222900000,20700000,4.9,892,1,0.666218035,0.00101010101,shopee,2021-10-22 0:00:00
Pollenzo - Teta Flatshoes Hitam Polos Sol Karet Jy-006-B (1 Kg = 3 Pasang),1511150774,4054586,2627,17689,11234,138456,100532,9441,45,"[9442, 9, 12, 149, 1061, 8211]",False,True,False,True,Sepatu Wanita,Sepatu Flat,https://cf.shopee.co.id/file/870a98b33f482ca781c2d284239b6cb7_tn,Shopee Mall,Kab. Bogor,36245,https://shopee.co.id/pollenzo-teta-flatshoes-hitam-polos-sol-karet-jy-006-b-1-kg-3-pasang-i.4054586.1511150774,641137805,95215615,4.8,8211,9,0.5337215218,0.0009532888465,shopee,2021-10-22 0:00:00
Zode Terra Flat Shoes,13402138308,316699207,853,1110,4365,127825,100532,579,47,"[579, 3, 2, 7, 80, 487]",False,True,False,False,Sepatu Wanita,Sepatu Flat,https://cf.shopee.co.id/file/c0d89450f4e88ebdc4035040fc497d08_tn,Shopee Mall,Kota Jakarta Utara,79000,https://shopee.co.id/zode-terra-flat-shoes-i.316699207.13402138308,87690000,67387000,4.8,487,3,0.5216216216,0.00518134715,shopee,2021-10-22 0:00:00
Bellashoesjkt Violla Flatshoes Wanita,11445131703,53834959,570,837,2559,64228,100532,446,0,"[446, 1, 3, 13, 37, 392]",False,True,False,False,Sepatu Wanita,Loafers & Boat Shoes,https://cf.shopee.co.id/file/ff2afc784883fa7cee1385c693ace490_tn,Shopee Mall,Kota Depok,95000,https://shopee.co.id/bellashoesjkt-violla-flatshoes-wanita-i.53834959.11445131703,79515000,54150000,4.8,392,1,0.5328554361,0.002242152466,shopee,2021-10-22 0:00:00
Lova.id - HIROKI - Sepatu Docmart Wanita,8787011172,20445930,120,224,2081,18298,100532,138,10,"[138, 0, 0, 4, 10, 124]",False,True,False,False,Sepatu Wanita,Loafers & Boat Shoes,https://cf.shopee.co.id/file/b35c8d98c2cc11792f70c393220afdc8_tn,Shopee Mall,Kab. Bandung,121500,https://shopee.co.id/lova-id-hiroki-sepatu-docmart-wanita-i.20445930.8787011172,27216000,14580000,4.9,124,0,0.6160714286,0,shopee,2021-10-22 0:00:00
COLINE Molly Brokat Loafers Shoes Sepatu Wanita C1034,8780084783,151930062,75,187,1059,9293,100532,97,58,"[97, 0, 1, 0, 10, 86]",False,True,False,False,Sepatu Wanita,Loafers & Boat Shoes,https://cf.shopee.co.id/file/dedd4fe30c76a662af44fcdc0941a980_tn,Shopee Mall,Kota Jakarta Barat,159900,https://shopee.co.id/coline-molly-brokat-loafers-shoes-sepatu-wanita-c1034-i.151930062.8780084783,29901300,11992500,4.9,86,0,0.5187165775,0,shopee,2021-10-22 0:00:00
Gillette For Women Daisy Plus 2S,4331952474,186214521,81,220,69,836,100532,92,0,"[92, 0, 0, 0, 2, 90]",False,True,False,True,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/dce20f11796e247a5d7abcb5101c26e9_tn,Shopee Mall,Kab. Bekasi,20900,https://shopee.co.id/gillette-for-women-daisy-plus-2s-i.186214521.4331952474,4598000,1692900,5,90,0,0.4181818182,0,shopee,2021-10-22 0:00:00
FARADELA Sepatu Flatshoes Wanita F01-05.2,2019217113,99496847,38,290,761,4887,100532,195,5,"[195, 0, 0, 2, 20, 173]",False,True,False,True,Sepatu Wanita,Sepatu Oxford,https://cf.shopee.co.id/file/9dac0d5b45f66b03f172180fa0270ded_tn,Shopee Mall,Kab. Bogor,104500,https://shopee.co.id/faradela-sepatu-flatshoes-wanita-f01-05-2-i.99496847.2019217113,30305000,3971000,4.9,173,0,0.6724137931,0,shopee,2021-10-22 0:00:00
Bellashoesjkt Saymitha Mules Wanita,1868660205,53834959,967,16585,27191,84246,100532,9944,0,"[9944, 67, 45, 193, 1078, 8561]",False,True,False,True,Sepatu Wanita,"Slip Ons, Mary Janes & Mules",https://cf.shopee.co.id/file/51f1aa2bf7a0ad865ba0ea86ae5caed6_tn,Shopee Mall,Kota Depok,100000,https://shopee.co.id/bellashoesjkt-saymitha-mules-wanita-i.53834959.1868660205,1658500000,96700000,4.8,8561,67,0.5995779319,0.006737731295,shopee,2021-10-22 0:00:00
